"City","State","Metro","Country","Lat","Lng"
"City","State","Metro","CountyName","45.524048","-122.63706"
"Clackamas","OR","Portland","Clackamas","45.40762","-122.570366"
"Clancy","MT","Helena","Jefferson","46.46521","-111.98638"
"Clanton","AL","Birmingham","Chilton","32.838737","-86.629425"
"Clare","MI","","Clare","43.81947","-84.76863"
"Claremont","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","34.096676","-117.71978"
"Claremont","NC","Hickory","Catawba","35.714577","-81.146194"
"Claremont","NH","Claremont","Sullivan","43.372864","-72.337875"
"Claremore","OK","Tulsa","Rogers","36.312595","-95.61609"
"Clarence","NY","Buffalo","Erie","42.982216","-78.57708"
"Clarendon Hills","IL","Chicago","Du Page","41.79753","-87.95478"
"Clarion Township","PA","","Clarion","41.199238","-79.26767"
"Clark","NJ","New York","Union","40.627804","-74.31276"
"Clarkdale","AZ","Prescott","Yavapai","34.771133","-112.05794"
"Clarkesville","GA","Cornelia","Habersham","34.6126","-83.524895"
"Clarksburg","MD","Washington","Montgomery","39.238716","-77.27943"
"Clarksburg","WV","Clarksburg","Harrison","39.280643","-80.344536"
"Clarkston","GA","Atlanta","Dekalb","33.809547","-84.23965"
"Clarkston","MI","Detroit","Oakland","42.73512","-83.4193"
"Clarkston","WA","Lewiston","Asotin","46.41627","-117.04516"
"Clarkstown","NY","New York","Rockland","41.125973","-73.959496"
"Clarksville","AR","","Johnson","35.471474","-93.466576"
"Clarksville","IN","Louisville/Jefferson County","Clark","38.296738","-85.759964"
"Clarksville","MD","Baltimore","Howard","39.206196","-76.945564"
"Clarksville","TN","Clarksville","Montgomery","36.52977","-87.35945"
"Clarksville","VA","","Mecklenburg","36.62403","-78.556946"
"Clawson","MI","Detroit","Oakland","42.533367","-83.14632"
"Claxton","GA","","Evans","32.161583","-81.90401"
"Clay Center","KS","","Clay","39.37694","-97.12474"
"Clay","AL","Birmingham","Jefferson","33.702602","-86.59971"
"Clay","NY","Syracuse","Onondaga","43.18568","-76.17175"
"Claymont","DE","Philadelphia","New Castle","39.800667","-75.45964"
"Clayton","CA","San Francisco","Contra Costa","37.941032","-121.93579"
"Clayton","DE","Dover","Kent","39.29067","-75.63437"
"Clayton","GA","","Rabun","34.878147","-83.40099"
"Clayton","MO","St. Louis","Saint Louis","38.64255","-90.32372"
"Clayton","NC","Raleigh","Johnston","35.65071","-78.45639"
"Clayton","NJ","Philadelphia","Gloucester","39.660114","-75.09212"
"Clayton","OH","Dayton","Montgomery","39.86311","-84.360504"
"Cle Elum","WA","Ellensburg","Kittitas","47.195396","-120.93925"
"Clear Lake","IA","Mason City","Cerro Gordo","43.143555","-93.37881"
"Clear Lake","MN","Minneapolis-St Paul","Sherburne","45.44583","-93.99778"
"Clearfield","UT","Ogden","Davis","41.11078","-112.026054"
"Clearlake Oaks","CA","Clearlake","Lake","39.026283","-122.67193"
"Clearlake","CA","Clearlake","Lake","38.95823","-122.62637"
"Clearwater","FL","Tampa","Pinellas","27.965853","-82.8001"
"Cleburne","TX","Dallas-Fort Worth","Johnson","32.347645","-97.38668"
"Clemmons","NC","Winston-Salem","Forsyth","36.021526","-80.381996"
"Clermont","FL","Orlando","Lake","28.549444","-81.77286"
"Clermont","GA","Gainesville","Hall","34.477875","-83.77351"
"Cleveland Heights","OH","Cleveland","Cuyahoga","41.52005","-81.55624"
"Cleveland","GA","","White","34.597042","-83.76324"
"Cleveland","OH","Cleveland","Cuyahoga","41.49932","-81.69436"
"Cleveland","OK","Tulsa","Pawnee","36.31007","-96.46419"
"Cleveland","SC","Greenville","Greenville","35.07154","-82.52157"
"Cleveland","TN","Cleveland","Bradley","35.15952","-84.87661"
"Cleveland","TX","Houston","Liberty","30.34132","-95.08549"
"Cleves","OH","Cincinnati","Hamilton","39.161724","-84.749115"
"Clewiston","FL","Clewiston","Hendry","26.75423","-80.93368"
"Cliffside Park","NJ","New York","Bergen","40.82149","-73.98764"
"Clifton Forge","VA","","Alleghany","37.81624","-79.82449"
"Clifton Park","NY","Albany","Saratoga","42.84467","-73.81838"
"Clifton","CO","Grand Junction","Mesa","39.091927","-108.448975"
"Clifton","NJ","New York","Passaic","40.858433","-74.16376"
"Clifton","TX","","Bosque","31.78238","-97.57668"
"Clifton","VA","Washington","Fairfax","38.780113","-77.38665"
"Climax Springs","MO","","Camden","38.096664","-93.0513"
"Clinton Township","MI","Detroit","Macomb","42.586887","-82.91955"
"Clinton Township","NJ","New York","Hunterdon","40.63069","-74.868454"
"Clinton Township","PA","","Wayne","40.702065","-79.84088"
"Clinton","AR","","Van Buren","35.591465","-92.460434"
"Clinton","CT","Hartford","Middlesex","41.28822","-72.5288"
"Clinton","IA","Clinton","Clinton","41.844475","-90.188736"
"Clinton","IL","Bloomington","Dewitt","40.15365","-88.96452"
"Clinton","MA","Worcester","Worcester","42.416763","-71.68291"
"Clinton","MD","Washington","Prince Georges","38.765114","-76.89831"
"Clinton","MI","Adrian","Lenawee","42.071987","-83.97161"
"Clinton","MO","","Henry","38.368633","-93.77827"
"Clinton","MS","Jackson","Hinds","32.341534","-90.32176"
"Clinton","NC","","Sampson","34.997944","-78.32333"
"Clinton","OK","Weatherford","Custer","35.515606","-98.96731"
"Clinton","SC","Greenville","Laurens","34.472626","-81.88065"
"Clinton","TN","Knoxville","Anderson","36.103413","-84.13187"
"Clintonville","WI","","Waupaca","44.620537","-88.76232"
"Clive","IA","Des Moines","Polk","41.606087","-93.77236"
"Cloquet","MN","Duluth","Carlton","46.721775","-92.46118"
"Closter","NJ","New York","Bergen","40.973152","-73.961525"
"Cloudcroft","NM","Alamogordo","Otero","32.957314","-105.742485"
"Clover","SC","Charlotte","York","35.111248","-81.22646"
"Cloverdale","OR","","Tillamook","45.205513","-123.8879"
"Cloverleaf","TX","Houston","Harris","29.778282","-95.171875"
"Clovis","CA","Fresno","Fresno","36.825226","-119.70292"
"Clovis","NM","Clovis","Curry","34.4048","-103.20523"
"Clute","TX","Houston","Brazoria","29.02469","-95.39883"
"Clyde","NC","Asheville","Haywood","35.53344","-82.91069"
"Clyde","OH","Fremont","Sandusky","41.30422","-82.97519"
"Clyde","TX","Abilene","Callahan","32.40596","-99.49369"
"Coachella","CA","Riverside","Riverside","33.6803","-116.1739"
"Coal City","IL","Chicago","Grundy","41.28781","-88.28562"
"Coal Valley","IL","Davenport","Rock Island","41.428646","-90.46097"
"Coalinga","CA","Fresno","Fresno","36.13968","-120.36015"
"Coarsegold","CA","Madera","Madera","37.26217","-119.70098"
"Cobleskill","NY","Albany","Schoharie","42.677853","-74.48542"
"Cochran","GA","","Bleckley","32.38683","-83.35461"
"Cockeysville","MD","Baltimore","Baltimore","39.481216","-76.64386"
"Cocoa Beach","FL","Melbourne","Brevard","28.320007","-80.60755"
"Cocoa","FL","Melbourne","Brevard","28.386116","-80.742"
"Coconut Creek","FL","Miami-Fort Lauderdale","Broward","26.251749","-80.17893"
"Cody","WY","","Park","44.52634","-109.05653"
"Coeburn","VA","Big Stone Gap","Wise","36.943993","-82.46404"
"Coeur d'Alene","ID","Coeur d'Alene","Kootenai","47.677685","-116.780464"
"Coffeyville","KS","Coffeyville","Montgomery","37.0373","-95.61636"
"Cohasset","MA","Boston","Norfolk","42.241768","-70.80366"
"Cohoes","NY","Albany","Albany","42.774246","-73.70012"
"Colbert","GA","Athens","Madison","34.03789","-83.212654"
"Colbert","WA","Spokane","Spokane","47.826668","-117.34159"
"Colchester","NY","","Delaware","42.160362","-75.07739"
"Colchester","VT","Burlington","Chittenden","44.543938","-73.1479"
"Cold Spring Harbor","NY","New York","Suffolk","40.871487","-73.45679"
"Cold Spring","KY","Cincinnati","Campbell","39.02173","-84.43994"
"Cold Spring","MN","St. Cloud","Stearns","45.45361","-94.42778"
"Cold Springs","NV","Reno","Washoe","39.680187","-119.976585"
"Coldspring","TX","","San Jacinto","30.59242","-95.12938"
"Coldstream","KY","Louisville/Jefferson County","Jefferson","38.314793","-85.52385"
"Coldwater","MI","Coldwater","Branch","41.940327","-85.00052"
"Colebrook","NH","Berlin","Coos","44.894314","-71.4963"
"Colebrookdale Township","PA","Reading","Berks","40.347435","-75.6499"
"Coleman","TX","","Coleman","31.827368","-99.42645"
"Colfax","CA","Sacramento","Placer","39.10073","-120.95328"
"Colfax","WI","Menomonie","Dunn","44.997463","-91.72711"
"College Park","GA","Atlanta","Fulton","33.653442","-84.44937"
"College Park","MD","Washington","Prince Georges","38.989697","-76.93776"
"College Place","WA","Walla Walla","Walla Walla","46.0493","-118.3883"
"College Station","TX","College Station","Brazos","30.627977","-96.334404"
"Collegedale","TN","Chattanooga","Hamilton","35.05313","-85.050224"
"Colleyville","TX","Dallas-Fort Worth","Tarrant","32.88096","-97.155014"
"Collierville","TN","Memphis","Shelby","35.042034","-89.66453"
"Collingswood","NJ","Philadelphia","Camden","39.918167","-75.07128"
"Collinsville","IL","St. Louis","Madison","38.670326","-89.98455"
"Collinsville","OK","Tulsa","Tulsa","36.36454","-95.838875"
"Collinsville","VA","Martinsville","Henry","36.715137","-79.91532"
"Colmesneil","TX","","Tyler","30.907976","-94.42214"
"Coloma Township","MI","Niles","Berrien","42.207214","-86.32754"
"Colon","MI","Sturgis","Saint Joseph","41.95838","-85.32498"
"Colona","IL","Davenport","Henry","41.483925","-90.35318"
"Colonia","NJ","New York","Middlesex","40.584866","-74.303925"
"Colonial Beach","VA","","Westmoreland","38.254574","-76.963585"
"Colonial Heights","VA","Richmond","Colonial Heights City","37.244038","-77.41026"
"Colorado City","TX","","Mitchell","32.388176","-100.864555"
"Colorado Springs","CO","Colorado Springs","El Paso","38.83388","-104.821365"
"Colton","CA","Riverside","San Bernardino","34.073902","-117.31365"
"Colts Neck","NJ","New York","Monmouth","40.28761","-74.17236"
"Columbia City","IN","Fort Wayne","Whitley","41.15727","-85.48831"
"Columbia Falls","MT","Kalispell","Flathead","48.379963","-114.180405"
"Columbia Heights","MN","Minneapolis-St Paul","Anoka","45.0482","-93.247406"
"Columbia","CT","Hartford","Tolland","41.70204","-72.30119"
"Columbia","IL","St. Louis","Monroe","38.443665","-90.201225"
"Columbia","KY","","Adair","37.10284","-85.30635"
"Columbia","MD","Baltimore","Howard","39.203716","-76.861046"
"Columbia","MO","Columbia","Boone","38.951706","-92.334076"
"Columbia","MS","","Marion","31.252457","-89.83543"
"Columbia","PA","Lancaster","Lancaster","40.033707","-76.50441"
"Columbia","SC","Columbia","Richland","34.00071","-81.03481"
"Columbia","TN","Nashville","Maury","35.61507","-87.035286"
"Columbiana","AL","Birmingham","Shelby","33.178173","-86.60721"
"Columbiana","OH","Salem","Columbiana","40.888393","-80.69396"
"Columbiaville","MI","Detroit","Lapeer","43.156693","-83.41051"
"Columbus","GA","Columbus","Muscogee","32.460976","-84.98771"
"Columbus","IN","Columbus","Bartholomew","39.20144","-85.92138"
"Columbus","KS","","Cherokee","37.169228","-94.844124"
"Columbus","MS","Columbus","Lowndes","33.495674","-88.42726"
"Columbus","NC","","Polk","35.25317","-82.19706"
"Columbus","NE","Columbus","Platte","41.430298","-97.35939"
"Columbus","OH","Columbus","Franklin","39.961174","-82.998795"
"Columbus","TX","","Colorado","29.706623","-96.539696"
"Columbus","WI","Madison","Columbia","43.338047","-89.01539"
"Colville","WA","Spokane","Stevens","48.545","-117.900955"
"Comanche","TX","","Comanche","31.89737","-98.60366"
"Comer","GA","Athens","Madison","34.063725","-83.12543"
"Comfort","TX","San Antonio","Kendall","29.967714","-98.90504"
"Commack","NY","New York","Suffolk","40.842876","-73.29289"
"Commerce City","CO","Denver","Adams","39.80832","-104.93387"
"Commerce Township","MI","Detroit","Oakland","42.575085","-83.488235"
"Commerce","GA","Jefferson","Jackson","34.204","-83.45711"
"Compton","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","33.895847","-118.22007"
"Comstock Park","MI","Grand Rapids","Kent","43.038635","-85.67004"
"Comstock Township","MI","Kalamazoo","Kalamazoo","42.284454","-85.45818"
"Concord","CA","San Francisco","Contra Costa","37.977978","-122.031075"
"Concord","MA","Boston","Middlesex","42.460373","-71.348946"
"Concord","MO","St. Louis","Saint Louis","38.51066","-90.36069"
"Concord","NC","Charlotte","Cabarrus","35.408752","-80.57951"
"Concord","NH","Concord","Merrimack","43.208138","-71.537575"
"Concord","NY","Buffalo","Erie","42.53534","-78.73086"
"Concordia","KS","","Cloud","39.570835","-97.66254"
"Conifer","CO","Denver","Jefferson","39.520252","-105.3057"
"Conley","GA","Atlanta","Dekalb","33.641865","-84.3358"
"Conneaut Lakeshore","PA","Meadville","Crawford","41.62404","-80.304596"
"Conneaut","OH","Ashtabula","Ashtabula","41.947556","-80.55424"
"Connellsville Township","PA","Pittsburgh","Fayette","40.00497","-79.554726"
"Connelly Springs","NC","Hickory","Burke","35.74291","-81.51343"
"Connersville","IN","Connersville","Fayette","39.64116","-85.141075"
"Conover","NC","Hickory","Catawba","35.70652","-81.2187"
"Conover","WI","","Vilas","46.054672","-89.25791"
"Conowingo","MD","Philadelphia","Cecil","39.677925","-76.15907"
"Conroe","TX","Houston","Montgomery","30.311876","-95.456055"
"Conshohocken","PA","Philadelphia","Montgomery","40.079277","-75.301575"
"Converse","TX","San Antonio","Bexar","29.518007","-98.316124"
"Conway","AR","Little Rock","Faulkner","35.088696","-92.4421"
"Conway","NH","","Carroll","43.979183","-71.120346"
"Conway","SC","Myrtle Beach","Horry","33.836002","-79.04781"
"Conyers","GA","Atlanta","Rockdale","33.66761","-84.01769"
"Cookeville","TN","Cookeville","Putnam","36.162838","-85.50164"
"Cookson","OK","Tahlequah","Cherokee","35.710926","-94.91995"
"Coolbaugh","PA","East Stroudsburg","Monroe","41.182304","-75.387856"
"Coolidge","AZ","Phoenix","Pinal","32.97784","-111.517624"
"Coolspring Township","PA","Youngstown","Mercer","41.274796","-80.22098"
"Coon Rapids","MN","Minneapolis-St Paul","Anoka","45.17324","-93.30301"
"Cooper City","FL","Miami-Fort Lauderdale","Broward","26.057312","-80.27171"
"Cooperstown","NY","Oneonta","Otsego","42.70063","-74.924324"
"Coos Bay","OR","Coos Bay","Coos","43.3665","-124.21789"
"Copake","NY","Hudson","Columbia","42.103455","-73.54993"
"Copiague","NY","New York","Suffolk","40.681488","-73.39984"
"Copley","OH","Akron","Summit","41.08751","-81.63639"
"Coppell","TX","Dallas-Fort Worth","Dallas","32.954567","-97.01501"
"Copperas Cove","TX","Killeen","Coryell","31.124062","-97.903076"
"Copperopolis","CA","","Calaveras","37.981037","-120.64187"
"Coquille","OR","Coos Bay","Coos","43.177055","-124.18761"
"Coral Gables","FL","Miami-Fort Lauderdale","Miami-Dade","25.72149","-80.26839"
"Coral Hills","MD","Washington","Prince Georges","38.87039","-76.92108"
"Coral Springs","FL","Miami-Fort Lauderdale","Broward","26.271193","-80.27061"
"Coral Terrace","FL","Miami-Fort Lauderdale","Miami-Dade","25.745934","-80.3045"
"Coralville","IA","Iowa City","Johnson","41.682274","-91.59606"
"Coram","NY","New York","Suffolk","40.86871","-73.001495"
"Corbin","KY","London","Whitley","36.9487","-84.09688"
"Cordele","GA","Cordele","Crisp","31.963507","-83.782394"
"Corinth","MS","Corinth","Alcorn","34.934254","-88.52227"
"Cornelia","GA","Cornelia","Habersham","34.51149","-83.527115"
"Cornelius","NC","Charlotte","Mecklenburg","35.486805","-80.86008"
"Cornelius","OR","Portland","Washington","45.519836","-123.05983"
"Corning","CA","Red Bluff","Tehama","39.927658","-122.17915"
"Cornville","AZ","Prescott","Yavapai","34.7178","-111.92155"
"Cornwall","NY","New York","Orange","41.434338","-74.03537"
"Corolla","NC","Virginia Beach","Currituck","36.380287","-75.83078"
"Corona","CA","Riverside","Riverside","33.875294","-117.56644"
"Coronado","CA","San Diego","San Diego","32.685886","-117.18309"
"Corpus Christi","TX","Corpus Christi","Nueces","27.800583","-97.39638"
"Corrales","NM","Albuquerque","Sandoval","35.23782","-106.60669"
"Corry","PA","Erie","Erie","41.920334","-79.64033"
"Corryton","TN","Knoxville","Knox","36.15287","-83.784744"
"Corsicana","TX","Corsicana","Navarro","32.095432","-96.46887"
"Cortez","CO","","Montezuma","37.348885","-108.58593"
"Cortland","IL","Chicago","DeKalb","41.92003","-88.6887"
"Cortland","NY","Cortland","Cortland","42.60118","-76.18048"
"Cortland","OH","Youngstown","Trumbull","41.330334","-80.72536"
"Cortlandt Manor","NY","New York","Westchester","41.28041","-73.871475"
"Corvallis","MT","","Ravalli","46.314087","-114.11288"
"Corvallis","OR","Corvallis","Benton","44.564568","-123.26205"
"Corydon","IN","Louisville/Jefferson County","Harrison","38.212013","-86.12192"
"Cosby","TN","Newport","Cocke","35.815475","-83.24776"
"Coshocton","OH","Coshocton","Coshocton","40.272015","-81.85957"
"Costa Mesa","CA","Los Angeles-Long Beach-Anaheim","Orange","33.641216","-117.91882"
"Coto de Caza","CA","Los Angeles-Long Beach-Anaheim","Orange","33.595104","-117.59067"
"Cotopaxi","CO","Canon City","Fremont","38.370796","-105.68793"
"Cottage Grove","MN","Minneapolis-St Paul","Washington","44.827744","-92.943825"
"Cottage Grove","OR","Eugene","Lane","43.797623","-123.059525"
"Cottondale","AL","Tuscaloosa","Tuscaloosa","33.1892","-87.4566"
"Cottonwood Heights","UT","Salt Lake City","Salt Lake","40.618317","-111.81629"
"Cottonwood","AZ","Prescott","Yavapai","34.73919","-112.00988"
"Cottonwood","CA","Red Bluff","Tehama","40.385708","-122.28084"
"Coudersport","PA","","Potter","41.774788","-78.02056"
"Counce","TN","","Hardin","35.042274","-88.27354"
"Council Bluffs","IA","Omaha","Pottawattamie","41.261944","-95.86083"
"Council Grove","KS","","Morris","38.661118","-96.49195"
"Country Club Hills","IL","Chicago","Cook","41.56809","-87.72033"
"Country Club","FL","Miami-Fort Lauderdale","Miami-Dade","25.948149","-80.31699"
"Coupeville","WA","Oak Harbor","Island","48.219822","-122.68628"
"Coventry","CT","Hartford","Tolland","41.78468","-72.3393"
"Coventry","RI","Providence","Kent","41.6886","-71.56421"
"Covina","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","34.090008","-117.89034"
"Covington","GA","Atlanta","Newton","33.596783","-83.86018"
"Covington","KY","Cincinnati","Kenton","39.08367","-84.50855"
"Covington","LA","New Orleans","Saint Tammany","30.47547","-90.100914"
"Covington","TN","Memphis","Tipton","35.576233","-89.653404"
"Covington","VA","","Alleghany","37.793457","-79.99395"
"Covington","WA","Seattle","King","47.35956","-122.11801"
"Coweta","OK","Tulsa","Wagoner","35.951767","-95.65081"
"Coxs Creek","KY","Bardstown","Nelson","37.898975","-85.47335"
"Craig Beach","OH","Youngstown","Mahoning","41.117","-80.98342"
"Craig","CO","Craig","Moffat","40.515247","-107.546455"
"Cranberry Township","PA","Pittsburgh","Butler","40.684963","-80.10714"
"Cranbury Township","NJ","New York","Middlesex","40.30259","-74.51117"
"Crandon","WI","","Forest","45.571907","-88.90289"
"Crane Hill","AL","Cullman","Cullman","34.09399","-87.063065"
"Crane","MO","Branson","Stone","36.905334","-93.57159"
"Cranford","NJ","New York","Union","40.65842","-74.29959"
"Cranston","RI","Providence","Providence","41.779823","-71.43728"
"Crawfordsville","IN","Crawfordsville","Montgomery","40.041153","-86.87445"
"Crawfordville","FL","Tallahassee","Wakulla","30.194485","-84.371124"
"Creede","CO","","Mineral","37.849167","-106.92644"
"Creedmoor","NC","Oxford","Granville","36.122368","-78.68611"
"Crescent City","CA","Crescent City","Del Norte","41.75575","-124.20259"
"Crescent City","FL","Palatka","Putnam","29.430252","-81.51063"
"Cresskill","NJ","New York","Bergen","40.941486","-73.959305"
"Crest Hill","IL","Chicago","Will","41.554752","-88.09867"
"Crested Butte","CO","","Gunnison","38.869713","-106.98782"
"Crestline","CA","Riverside","San Bernardino","34.24195","-117.2856"
"Crestview","FL","Crestview-Fort Walton Beach-Destin","Okaloosa","30.75418","-86.5728"
"Crestwood","IL","Chicago","Cook","41.661144","-87.75255"
"Crestwood","KY","Louisville/Jefferson County","Oldham","38.324234","-85.47246"
"Crestwood","MO","St. Louis","Saint Louis","38.557","-90.38178"
"Creswell","OR","Eugene","Lane","43.917904","-123.02453"
"Crete","IL","Chicago","Will","41.44448","-87.63143"
"Creve Coeur","IL","Peoria","Tazewell","40.64726","-89.59121"
"Creve Coeur","MO","St. Louis","Saint Louis","38.660885","-90.422615"
"Cripple Creek","CO","Colorado Springs","Teller","38.746655","-105.178314"
"Crisfield","MD","Salisbury","Somerset","37.983456","-75.85382"
"Crivitz","WI","Marinette","Marinette","45.232475","-88.00761"
"Crockett","TX","","Houston","31.318235","-95.45661"
"Crofton","MD","Baltimore","Anne Arundel","39.001778","-76.68747"
"Cromwell","CT","Hartford","Middlesex","41.5951","-72.64537"
"Crosby","TX","Houston","Harris","29.911888","-95.06215"
"Cross Junction","VA","Winchester","Frederick","39.320377","-78.293335"
"Cross Lake","MN","Brainerd","Crow Wing","46.659405","-94.11388"
"Cross Lanes","WV","Charleston","Kanawha","38.420372","-81.79069"
"Crossett","AR","","Ashley","33.128178","-91.96124"
"Crossville","TN","Crossville","Cumberland","35.948956","-85.0269"
"Croswell","MI","","Sanilac","43.27558","-82.62104"
"Croton-on-Hudson","NY","New York","Westchester","41.208427","-73.89125"
"Crowley","LA","Lafayette","Acadia","30.214092","-92.37457"
"Crowley","TX","Dallas-Fort Worth","Tarrant","32.579025","-97.36252"
"Crown Point","IN","Chicago","Lake","41.41698","-87.36531"
"Crownsville","MD","Baltimore","Anne Arundel","39.028442","-76.60136"
"Croydon","PA","Philadelphia","Bucks","40.087334","-74.903496"
"Crozet","VA","Charlottesville","Albemarle","38.06958","-78.70058"
"Crumpler","NC","","Ashe","36.504013","-81.394264"
"Crystal City","MO","St. Louis","Jefferson","38.221165","-90.37901"
"Crystal Falls","MI","","Iron","46.098007","-88.33402"
"Crystal Lake","IL","Chicago","McHenry","42.241135","-88.3162"
"Crystal River","FL","Homosassa Springs","Citrus","28.90248","-82.5926"
"Crystal Springs","MS","Jackson","Copiah","31.987377","-90.35703"
"Cuba","MO","","Crawford","38.062824","-91.40348"
"Cudahy","WI","Milwaukee","Milwaukee","42.95974","-87.86147"
"Cullman","AL","Cullman","Cullman","34.17482","-86.84361"
"Culloden","WV","Huntington","Cabell","38.42009","-82.05541"
"Cullowhee","NC","Cullowhee","Jackson","35.31371","-83.17654"
"Culpeper","VA","Washington","Culpeper","38.47296","-77.996254"
"Culver City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","34.021122","-118.39647"
"Culver","IN","Plymouth","Marshall","41.22242","-86.413"
"Cumberland Township","PA","Gettysburg","Adams","39.79776","-77.25201"
"Cumberland","MD","Cumberland","Allegany","39.652866","-78.76252"
"Cumberland","RI","Providence","Providence","41.972183","-71.40619"
"Cumming","GA","Atlanta","Forsyth","34.20732","-84.14019"
"Cumru Township","PA","Reading","Berks","40.270763","-75.95794"
"Cupertino","CA","San Jose","Santa Clara","37.322998","-122.03218"
"Cushing","OK","Stillwater","Payne","35.985065","-96.76697"
"Custer","SD","Rapid City","Custer","43.76665","-103.59881"
"Cutchogue","NY","New York","Suffolk","41.010654","-72.485085"
"Cutler Bay","FL","Miami-Fort Lauderdale","Miami-Dade","25.580832","-80.34686"
"Cuyahoga Falls","OH","Akron","Summit","41.133945","-81.48456"
"Cynthiana","KY","","Harrison","38.390354","-84.2941"
"Cypress","CA","Los Angeles-Long Beach-Anaheim","Orange","33.816936","-118.03685"
"Cypress","TX","Houston","Harris","29.971691","-95.69379"
"Dacula","GA","Atlanta","Gwinnett","33.988716","-83.89796"
"Dade City","FL","Tampa","Pasco","28.364725","-82.195915"
"Dadeville","AL","","Tallapoosa","32.831238","-85.76357"
"Dagsboro","DE","Salisbury","Sussex","38.54928","-75.24574"
"Dahlonega","GA","","Lumpkin","34.526146","-83.9844"
"Daleville","AL","Ozark","Dale","31.310171","-85.71299"
"Daleville","VA","Roanoke","Botetourt","37.4099","-79.91296"
"Dallas","GA","Atlanta","Paulding","33.924454","-84.84131"
"Dallas","NC","Charlotte","Gaston","35.316525","-81.17619"
"Dallas","OR","Salem","Polk","44.919285","-123.31705"
"Dallas","TX","Dallas-Fort Worth","Dallas","32.776665","-96.79699"
"Dalton","GA","Dalton","Whitfield","34.769802","-84.97022"
"Dalton","MA","Pittsfield","Berkshire","42.473698","-73.166214"
"Daly City","CA","San Francisco","San Mateo","37.687923","-122.47021"
"Dalzell","SC","Sumter","Sumter","34.016823","-80.430084"
"Damascus","MD","Washington","Montgomery","39.288437","-77.20387"
"Damascus","OR","Portland","Clackamas","45.41762","-122.45898"
"Dana Point","CA","Los Angeles-Long Beach-Anaheim","Orange","33.467224","-117.698105"
"Danbury","CT","Stamford","Fairfield","41.394817","-73.45401"
"Danbury","WI","","Burnett","46.00661","-92.37131"
"Dandridge","TN","Morristown","Jefferson","36.01537","-83.41489"
"Dania Beach","FL","Miami-Fort Lauderdale","Broward","26.05231","-80.143936"
"Daniels","WV","Beckley","Raleigh","37.74317","-81.12287"
"Danielsville","GA","Athens","Madison","34.124275","-83.22126"
"Dansville","NY","Rochester","Livingston","42.5609","-77.696106"
"Danvers","MA","Boston","Essex","42.575","-70.93212"
"Danville","CA","San Francisco","Contra Costa","37.821594","-121.99996"
"Danville","IL","Danville","Vermilion","40.12448","-87.63002"
"Danville","IN","Indianapolis","Hendricks","39.7606","-86.52639"
"Danville","KY","Danville","Boyle","37.645634","-84.77217"
"Danville","PA","Bloomsburg","Montour","40.96342","-76.61273"
"Danville","VA","Danville","Danville City","36.58597","-79.39502"
"Daphne","AL","Daphne","Baldwin","30.603525","-87.9036"
"Darby Township","PA","Philadelphia","Delaware","39.899185","-75.26249"
"Darby","MT","","Ravalli","46.021587","-114.17314"
"Dardanelle","AR","Russellville","Yell","35.22314","-93.15795"
"Darien","CT","Stamford","Fairfield","41.07719","-73.46869"
"Darien","GA","Brunswick","McIntosh","31.370226","-81.43399"
"Darien","IL","Chicago","Du Page","41.74835","-87.97379"
"Darlington","SC","Florence","Darlington","34.299877","-79.876175"
"Dartmouth","MA","Providence","Bristol","41.613033","-70.97048"
"Dauphin Island","AL","Mobile","Mobile","30.254257","-88.11242"
"Davenport","FL","Lakeland","Polk","28.161404","-81.60174"
"Davenport","IA","Davenport","Scott","41.523643","-90.57764"
"Davidson","NC","Charlotte","Mecklenburg","35.499302","-80.84869"
"Davidsonville","MD","Baltimore","Anne Arundel","38.922764","-76.628555"
"Davie","FL","Miami-Fort Lauderdale","Broward","26.076479","-80.25211"
"Davis","CA","Sacramento","Yolo","38.544907","-121.74052"
"Davis","IL","Rockford","Winnebago","42.422516","-89.41373"
"Davis","WV","","Tucker","39.12872","-79.464775"
"Davison","MI","Flint","Genesee","43.034748","-83.518005"
"Dawsonville","GA","Atlanta","Dawson","34.421204","-84.11908"
"Day","NY","Albany","Saratoga","43.332664","-74.05351"
"Dayton","KY","Cincinnati","Campbell","39.11284","-84.47272"
"Dayton","MN","Minneapolis-St Paul","Hennepin","45.243855","-93.51496"
"Dayton","NJ","New York","Middlesex","40.37261","-74.510155"
"Dayton","NV","Fernley","Lyon","39.237137","-119.59295"
"Dayton","OH","Dayton","Montgomery","39.75895","-84.191605"
"Dayton","TN","Dayton","Rhea","35.493958","-85.01245"
"Dayton","TX","Houston","Liberty","30.046604","-94.8852"
"Dayton","WA","Walla Walla","Columbia","46.323753","-117.972435"
"Daytona Beach","FL","Daytona Beach","Volusia","29.210815","-81.022835"
"De Forest","WI","Madison","Dane","43.24777","-89.34373"
"De Soto","MO","St. Louis","Jefferson","38.1395","-90.55512"
"De Tour Village","MI","Sault Ste. Marie","Chippewa","45.994465","-83.90279"
"De Witt","NY","Syracuse","Onondaga","43.042664","-76.06785"
"DeMotte","IN","Chicago","Jasper","41.193718","-87.19864"
